股票代码,交易日期,开盘价,最高价,最低价,收盘价,昨收价,涨跌额,涨跌幅,成交量（手）,成交额（千元）
600395.SH,20221125,7.14,7.24,6.98,7.22,7.14,0.08,1.1204,361105.1,258316.864
600395.SH,20221124,7.03,7.19,6.99,7.14,7.01,0.13,1.8545,342266.26,243136.724
600395.SH,20221123,6.96,7.08,6.94,7.01,6.92,0.09,1.3006,277212.96,194534.543
600395.SH,20221122,6.9,7.04,6.88,6.92,6.91,0.01,0.1447,223078.8,155148.652
600395.SH,20221121,6.92,6.93,6.83,6.91,6.94,-0.03,-0.4323,156061.92,107523.884
600395.SH,20221118,6.98,7.02,6.92,6.94,7.01,-0.07,-0.9986,191906.63,133770.624
600395.SH,20221117,7.12,7.13,6.94,7.01,7.11,-0.1,-1.4065,271794.45,190254.871
600395.SH,20221116,7.11,7.2,7.09,7.11,7.12,-0.01,-0.1404,268613.01,191412.578
600395.SH,20221115,7.01,7.12,6.93,7.12,7.05,0.07,0.9929,278337.75,196809.186
600395.SH,20221114,7.16,7.26,7.02,7.05,7.11,-0.06,-0.8439,406645.9,289603.747
600395.SH,20221111,7.13,7.2,7.04,7.11,7.01,0.1,1.4265,436649.14,311378.334
600395.SH,20221110,6.98,7.04,6.86,7.01,7.04,-0.03,-0.4261,266744.76,185611.789
600395.SH,20221109,7.09,7.11,7.0,7.04,7.07,-0.03,-0.4243,211142.46,148777.346
600395.SH,20221108,7.12,7.18,7.02,7.07,7.12,-0.05,-0.7022,249482.93,176584.967
600395.SH,20221107,7.06,7.17,7.05,7.12,7.03,0.09,1.2802,356766.59,253585.864
600395.SH,20221104,6.85,7.05,6.82,7.03,6.79,0.24,3.5346,363842.5,253105.537
600395.SH,20221103,6.82,6.85,6.76,6.79,6.88,-0.09,-1.3081,246225.05,167475.351
600395.SH,20221102,6.83,6.92,6.78,6.88,6.83,0.05,0.7321,313832.33,215273.592
600395.SH,20221101,6.76,6.85,6.69,6.83,6.72,0.11,1.6369,414360.16,280162.484
600395.SH,20221031,6.95,6.99,6.7,6.72,7.01,-0.29,-4.1369,455852.38,310680.897
600395.SH,20221028,7.27,7.29,6.96,7.01,7.27,-0.26,-3.5763,597449.82,421194.986
600395.SH,20221027,7.58,7.6,7.21,7.27,7.63,-0.36,-4.7182,854763.81,630571.562
600395.SH,20221026,7.68,7.78,7.57,7.63,7.68,-0.05,-0.651,189312.96,145289.377
600395.SH,20221025,7.67,7.75,7.57,7.68,7.71,-0.03,-0.3891,171849.52,131770.255
600395.SH,20221024,7.88,7.93,7.66,7.71,7.95,-0.24,-3.0189,236035.29,184560.071
600395.SH,20221021,7.94,8.04,7.9,7.95,7.96,-0.01,-0.1256,169451.53,134967.641
600395.SH,20221020,7.97,8.06,7.82,7.96,8.01,-0.05,-0.6242,218491.1,173815.829
600395.SH,20221019,8.05,8.17,7.93,8.01,8.06,-0.05,-0.6203,265332.77,213741.233
600395.SH,20221018,7.98,8.08,7.92,8.06,7.99,0.07,0.8761,257254.89,206010.749
600395.SH,20221017,7.92,8.0,7.6,7.99,7.98,0.01,0.1253,309233.49,241358.45
600395.SH,20221014,7.95,8.04,7.91,7.98,7.94,0.04,0.5038,260550.13,207941.222
600395.SH,20221013,8.31,8.31,7.92,7.94,8.37,-0.43,-5.1374,333677.0,268136.978
600395.SH,20221012,8.33,8.42,8.11,8.37,8.4,-0.03,-0.3571,198620.3,163756.288
600395.SH,20221011,8.42,8.44,8.1,8.4,8.38,0.02,0.2387,183574.25,152370.579
600395.SH,20221010,8.58,8.64,8.28,8.38,8.48,-0.1,-1.1792,209489.57,178300.296
600395.SH,20220930,8.33,8.55,8.25,8.48,8.37,0.11,1.3142,200315.18,168892.394
600395.SH,20220929,8.26,8.56,8.26,8.37,8.26,0.11,1.3317,225706.36,189505.331
600395.SH,20220928,8.41,8.46,8.18,8.26,8.42,-0.16,-1.9002,191429.1,158636.518
600395.SH,20220927,8.54,8.65,8.17,8.42,8.48,-0.06,-0.7075,226372.71,188629.181
600395.SH,20220926,8.66,8.81,8.41,8.48,8.84,-0.36,-4.0724,249283.89,214976.183
600395.SH,20220923,9.04,9.11,8.77,8.84,9.04,-0.2,-2.2124,217859.48,194181.171
600395.SH,20220922,8.73,9.09,8.7,9.04,8.75,0.29,3.3143,286247.71,256474.801
600395.SH,20220921,8.74,8.81,8.65,8.75,8.74,0.01,0.1144,177041.05,154766.841
600395.SH,20220920,8.72,8.89,8.61,8.74,8.58,0.16,1.8648,159299.86,139162.061
600395.SH,20220919,8.51,8.76,8.46,8.58,8.53,0.05,0.5862,176122.88,151842.585
600395.SH,20220916,8.73,8.9,8.53,8.53,8.9,-0.37,-4.1573,249980.72,217381.494
600395.SH,20220915,9.2,9.35,8.75,8.9,9.08,-0.18,-1.9824,291606.3,263184.274
600395.SH,20220914,9.03,9.2,8.99,9.08,9.2,-0.12,-1.3043,221065.09,201253.482
600395.SH,20220913,9.24,9.27,9.05,9.2,9.21,-0.01,-0.1086,216065.31,198063.002
600395.SH,20220909,9.16,9.31,9.01,9.21,9.16,0.05,0.5459,227551.09,208641.69
600395.SH,20220908,9.35,9.35,9.05,9.16,9.32,-0.16,-1.7167,188411.8,173053.076
600395.SH,20220907,9.34,9.46,9.27,9.32,9.43,-0.11,-1.1665,241108.11,225469.483
600395.SH,20220906,9.29,9.48,9.19,9.43,9.3,0.13,1.3978,265194.05,247706.903
600395.SH,20220905,9.22,9.42,9.11,9.3,9.1,0.2,2.1978,296050.43,275262.475
600395.SH,20220902,9.13,9.28,9.0,9.1,9.14,-0.04,-0.4376,260995.86,238361.934
600395.SH,20220901,9.03,9.35,8.97,9.14,9.0,0.14,1.5556,329239.12,302180.86
600395.SH,20220831,9.48,9.57,8.95,9.0,9.59,-0.59,-6.1522,394414.37,359334.858
600395.SH,20220830,9.93,9.93,9.45,9.59,9.9,-0.31,-3.1313,348523.42,335862.712
600395.SH,20220829,9.73,9.94,9.4,9.9,9.81,0.09,0.9174,443550.65,430057.682
600395.SH,20220826,10.0,10.04,9.62,9.81,10.12,-0.31,-3.0632,478055.83,471287.009
600395.SH,20220825,9.97,10.28,9.86,10.12,9.99,0.13,1.3013,525662.74,529965.665
600395.SH,20220824,10.05,10.36,9.9,9.99,10.07,-0.08,-0.7944,474535.69,479281.904
600395.SH,20220823,9.8,10.25,9.72,10.07,9.91,0.16,1.6145,550860.15,550999.201
600395.SH,20220822,9.91,10.05,9.72,9.91,9.88,0.03,0.3036,666531.93,661301.624
600395.SH,20220819,9.56,10.11,9.4,9.88,9.49,0.39,4.1096,740211.94,726563.841
600395.SH,20220818,9.43,9.82,9.41,9.49,9.6,-0.11,-1.1458,580902.34,557444.151
600395.SH,20220817,9.41,9.82,9.34,9.6,9.25,0.35,3.7838,960600.94,922735.126
600395.SH,20220816,9.58,9.72,9.07,9.25,9.23,0.02,0.2167,1158251.14,1083117.262
600395.SH,20220815,9.09,9.23,8.9,9.23,8.39,0.84,10.0119,303450.07,277902.861
600395.SH,20220812,8.19,8.42,8.19,8.39,8.17,0.22,2.6928,239651.18,199874.738
600395.SH,20220811,8.17,8.22,8.09,8.17,8.16,0.01,0.1225,140974.07,114991.536
600395.SH,20220810,8.29,8.36,8.08,8.16,8.3,-0.14,-1.6867,157996.72,128887.3
600395.SH,20220809,8.16,8.33,8.13,8.3,8.14,0.16,1.9656,187364.61,155130.512
600395.SH,20220808,8.03,8.24,7.87,8.14,8.04,0.1,1.2438,159502.42,129463.775
600395.SH,20220805,8.07,8.17,7.91,8.04,8.1,-0.06,-0.7407,148811.15,119105.736
600395.SH,20220804,8.08,8.3,7.93,8.1,8.14,-0.04,-0.4914,159815.97,128960.185
600395.SH,20220803,8.3,8.45,8.12,8.14,8.29,-0.15,-1.8094,160469.59,133221.332
600395.SH,20220802,8.61,8.61,8.23,8.29,8.62,-0.33,-3.8283,220208.04,184180.671
600395.SH,20220801,8.48,8.65,8.41,8.62,8.47,0.15,1.771,202136.0,173332.317
600395.SH,20220729,8.64,8.73,8.43,8.47,8.64,-0.17,-1.9676,187826.23,160316.217
600395.SH,20220728,8.7,8.74,8.53,8.64,8.58,0.06,0.6993,193129.47,166341.418
600395.SH,20220727,8.48,8.63,8.42,8.58,8.49,0.09,1.0601,165468.36,141367.582
600395.SH,20220726,8.48,8.58,8.35,8.49,8.57,-0.08,-0.9335,182579.12,154393.999
600395.SH,20220725,8.5,8.78,8.45,8.57,8.34,0.23,2.7578,232205.35,199906.042
600395.SH,20220722,8.42,8.47,8.28,8.34,8.42,-0.08,-0.9501,167170.58,139706.62
600395.SH,20220721,8.73,8.76,8.39,8.42,8.73,-0.31,-3.551,246863.27,209890.967
600395.SH,20220720,8.57,8.79,8.55,8.73,8.59,0.14,1.6298,247258.41,215154.238
600395.SH,20220719,8.5,8.65,8.4,8.59,8.48,0.11,1.2972,245185.9,209734.342
600395.SH,20220718,8.27,8.52,8.18,8.48,8.19,0.29,3.5409,262284.12,220010.074
600395.SH,20220715,8.18,8.4,8.12,8.19,8.17,0.02,0.2448,244784.0,202971.058
600395.SH,20220714,8.16,8.32,8.14,8.17,8.19,-0.02,-0.2442,219002.1,180097.468
600395.SH,20220713,8.34,8.59,8.22,8.59,8.39,0.2,2.3838,211208.9,178221.153
600395.SH,20220712,8.5,8.66,8.35,8.39,8.31,0.08,0.9627,237407.38,200674.644
600395.SH,20220711,8.4,8.4,8.15,8.31,8.47,-0.16,-1.889,159977.0,131951.026
600395.SH,20220708,8.68,8.77,8.45,8.47,8.59,-0.12,-1.397,165964.72,142372.536
600395.SH,20220707,8.49,8.65,8.33,8.59,8.55,0.04,0.4678,181333.7,154285.791
600395.SH,20220706,8.95,8.96,8.47,8.55,9.08,-0.53,-5.837,287781.5,248841.105
600395.SH,20220705,8.94,9.15,8.91,9.08,8.86,0.22,2.4831,338742.44,306822.175
600395.SH,20220704,8.91,9.02,8.75,8.86,8.98,-0.12,-1.3363,217388.52,192276.533
600395.SH,20220701,8.78,9.01,8.5,8.98,8.77,0.21,2.3945,284954.69,249840.397
600395.SH,20220630,8.76,8.95,8.76,8.77,8.81,-0.04,-0.454,181802.36,160772.504
600395.SH,20220629,8.87,9.06,8.78,8.81,8.87,-0.06,-0.6764,255614.15,227377.428
600395.SH,20220628,8.79,8.98,8.76,8.87,8.78,0.09,1.0251,294389.81,261120.977
600395.SH,20220627,8.5,8.81,8.49,8.78,8.53,0.25,2.9308,280810.75,244875.056
600395.SH,20220624,8.59,8.67,8.4,8.53,8.6,-0.07,-0.814,210444.22,179337.3
600395.SH,20220623,8.32,8.64,8.23,8.6,8.34,0.26,3.1175,253511.93,215512.611
