股票代码,交易日期,开盘价,最高价,最低价,收盘价,昨收价,涨跌额,涨跌幅,成交量（手）,成交额（千元）
600268.SH,20221125,8.62,8.72,8.42,8.5,8.62,-0.12,-1.3921,189439.94,162171.238
600268.SH,20221124,8.76,8.91,8.52,8.62,8.9,-0.28,-3.1461,295399.15,256092.06
600268.SH,20221123,8.56,8.95,8.54,8.9,8.75,0.15,1.7143,481930.36,424455.065
600268.SH,20221122,8.62,8.85,8.36,8.75,8.62,0.13,1.5081,471098.7,403567.133
600268.SH,20221121,8.48,9.18,8.39,8.62,8.37,0.25,2.9869,712352.46,619653.713
600268.SH,20221118,7.62,8.37,7.54,8.37,7.61,0.76,9.9869,392802.61,323097.412
600268.SH,20221117,7.7,7.71,7.54,7.61,7.69,-0.08,-1.0403,69283.61,52513.725
600268.SH,20221116,7.78,7.82,7.66,7.69,7.76,-0.07,-0.9021,67581.21,52231.988
600268.SH,20221115,7.6,7.78,7.55,7.76,7.6,0.16,2.1053,85140.48,65609.91
600268.SH,20221114,7.81,7.81,7.58,7.6,7.78,-0.18,-2.3136,94101.21,72353.756
600268.SH,20221111,7.86,7.9,7.77,7.78,7.73,0.05,0.6468,87640.23,68592.162
600268.SH,20221110,7.78,7.78,7.65,7.73,7.82,-0.09,-1.1509,77942.0,60137.812
600268.SH,20221109,7.85,7.87,7.76,7.82,7.84,-0.02,-0.2551,62393.59,48751.569
600268.SH,20221108,7.9,7.93,7.77,7.84,7.88,-0.04,-0.5076,76539.18,59876.947
600268.SH,20221107,7.9,7.95,7.82,7.88,7.88,0.0,0.0,88500.41,69756.287
600268.SH,20221104,7.72,7.95,7.72,7.88,7.7,0.18,2.3377,130403.24,102760.039
600268.SH,20221103,7.52,7.77,7.51,7.7,7.65,0.05,0.6536,88739.29,68134.127
600268.SH,20221102,7.51,7.82,7.4,7.65,7.54,0.11,1.4589,132039.17,100730.23
600268.SH,20221101,7.12,7.59,7.1,7.54,7.1,0.44,6.1972,143874.83,106503.073
600268.SH,20221031,7.14,7.24,7.07,7.1,7.19,-0.09,-1.2517,95525.93,68305.957
600268.SH,20221028,7.66,7.66,7.14,7.19,7.68,-0.49,-6.3802,165176.76,121212.136
600268.SH,20221027,7.87,8.03,7.67,7.68,8.14,-0.46,-5.6511,235327.28,184212.823
600268.SH,20221026,8.08,8.18,8.0,8.14,8.06,0.08,0.9926,90598.91,73496.935
600268.SH,20221025,7.89,8.08,7.78,8.06,7.94,0.12,1.5113,84109.0,66931.957
600268.SH,20221024,8.08,8.19,7.91,7.94,8.11,-0.17,-2.0962,89355.31,71972.124
600268.SH,20221021,8.05,8.19,8.02,8.11,8.0,0.11,1.375,83317.85,67640.056
600268.SH,20221020,8.01,8.14,7.9,8.0,8.08,-0.08,-0.9901,89289.45,71586.626
600268.SH,20221019,8.08,8.26,8.03,8.08,8.11,-0.03,-0.3699,94782.98,77398.442
600268.SH,20221018,8.06,8.2,8.01,8.11,8.04,0.07,0.8706,85461.4,69301.718
600268.SH,20221017,7.97,8.1,7.89,8.04,8.01,0.03,0.3745,87516.19,70015.595
600268.SH,20221014,7.97,8.05,7.91,8.01,7.88,0.13,1.6497,92971.05,74386.785
600268.SH,20221013,7.78,7.96,7.74,7.88,7.84,0.04,0.5102,88656.61,69979.049
600268.SH,20221012,7.53,7.84,7.48,7.84,7.52,0.32,4.2553,90179.96,69030.92
600268.SH,20221011,7.4,7.56,7.33,7.52,7.37,0.15,2.0353,55160.48,41225.147
600268.SH,20221010,7.44,7.54,7.29,7.37,7.44,-0.07,-0.9409,61226.61,45483.837
600268.SH,20220930,7.5,7.55,7.4,7.44,7.5,-0.06,-0.8,53877.38,40303.022
600268.SH,20220929,7.65,7.66,7.48,7.5,7.53,-0.03,-0.3984,57199.48,43256.987
600268.SH,20220928,7.9,7.93,7.53,7.53,7.9,-0.37,-4.6835,84695.28,64936.399
600268.SH,20220927,7.68,7.95,7.68,7.9,7.67,0.23,2.9987,71808.43,56312.56
600268.SH,20220926,7.72,7.89,7.63,7.67,7.85,-0.18,-2.293,70411.05,54495.492
600268.SH,20220923,8.03,8.13,7.75,7.85,7.97,-0.12,-1.5056,69780.12,55190.746
600268.SH,20220922,8.0,8.07,7.91,7.97,8.03,-0.06,-0.7472,49567.94,39650.506
600268.SH,20220921,8.01,8.07,7.8,8.03,8.0,0.03,0.375,56455.77,45034.472
600268.SH,20220920,7.88,8.06,7.88,8.0,7.86,0.14,1.7812,66294.61,53013.604
600268.SH,20220919,7.91,8.0,7.78,7.86,7.9,-0.04,-0.5063,63514.76,50064.94
600268.SH,20220916,8.18,8.24,7.9,7.9,8.2,-0.3,-3.6585,95661.18,77062.848
600268.SH,20220915,8.74,8.74,8.06,8.2,8.61,-0.41,-4.7619,143486.46,119036.389
600268.SH,20220914,8.53,8.65,8.48,8.61,8.76,-0.15,-1.7123,76106.55,65222.223
600268.SH,20220913,8.85,8.92,8.67,8.76,8.85,-0.09,-1.0169,78404.37,68776.521
600268.SH,20220909,8.84,9.03,8.79,8.85,8.88,-0.03,-0.3378,116381.33,103551.072
600268.SH,20220908,8.85,8.98,8.76,8.88,8.84,0.04,0.4525,127921.54,113316.414
600268.SH,20220907,8.7,8.85,8.66,8.84,8.76,0.08,0.9132,119341.23,104723.22
600268.SH,20220906,8.57,8.79,8.5,8.76,8.47,0.29,3.4238,155388.32,134938.938
600268.SH,20220905,8.5,8.63,8.42,8.47,8.57,-0.1,-1.1669,122088.28,103825.445
600268.SH,20220902,8.52,8.62,8.43,8.57,8.52,0.05,0.5869,96874.09,82808.679
600268.SH,20220901,8.59,8.74,8.49,8.52,8.62,-0.1,-1.1601,129932.53,111674.803
600268.SH,20220831,9.15,9.2,8.57,8.62,9.19,-0.57,-6.2024,211734.13,185771.823
600268.SH,20220830,9.45,9.49,9.15,9.19,9.39,-0.2,-2.1299,125382.19,115862.277
600268.SH,20220829,9.1,9.44,9.0,9.39,9.29,0.1,1.0764,147124.41,136318.302
600268.SH,20220826,9.45,9.65,9.29,9.29,9.43,-0.14,-1.4846,163789.26,155051.105
600268.SH,20220825,9.69,9.76,9.23,9.43,9.63,-0.2,-2.0768,285429.78,269836.989
600268.SH,20220824,10.3,10.45,9.63,9.63,10.46,-0.83,-7.935,461534.56,457013.786
600268.SH,20220823,10.28,10.64,10.17,10.46,10.31,0.15,1.4549,314855.87,328851.056
600268.SH,20220822,10.35,10.53,10.17,10.31,10.5,-0.19,-1.8095,256802.18,264107.725
600268.SH,20220819,10.4,10.63,10.14,10.5,10.42,0.08,0.7678,419126.49,435496.451
600268.SH,20220818,10.66,10.68,10.38,10.42,10.79,-0.37,-3.4291,416319.52,437138.446
600268.SH,20220817,10.3,10.85,10.25,10.79,10.35,0.44,4.2512,614024.46,653567.138
600268.SH,20220816,10.3,10.63,10.11,10.35,10.24,0.11,1.0742,349097.8,362152.612
600268.SH,20220815,10.1,10.34,9.99,10.24,10.15,0.09,0.8867,251248.92,256895.038
600268.SH,20220812,10.4,10.48,10.07,10.15,10.53,-0.38,-3.6087,395873.35,403854.199
600268.SH,20220811,10.6,10.78,10.36,10.53,10.62,-0.09,-0.8475,428769.78,452620.241
600268.SH,20220810,10.27,10.82,10.22,10.62,10.42,0.2,1.9194,488992.06,514387.326
600268.SH,20220809,10.55,10.88,10.3,10.42,10.5,-0.08,-0.7619,622114.45,657777.6
600268.SH,20220808,9.99,11.08,9.78,10.5,10.14,0.36,3.5503,709052.0,738682.167
600268.SH,20220805,10.78,10.89,9.88,10.14,10.59,-0.45,-4.2493,776874.11,798829.113
600268.SH,20220804,9.95,10.59,9.91,10.59,9.63,0.96,9.9688,436352.73,450860.348
600268.SH,20220803,9.74,10.09,9.49,9.63,9.7,-0.07,-0.7216,404373.16,394518.006
600268.SH,20220802,10.19,10.22,9.48,9.7,10.31,-0.61,-5.9166,444615.7,435408.395
600268.SH,20220801,10.75,11.1,10.3,10.31,10.31,0.0,0.0,783566.15,831720.91
600268.SH,20220729,9.37,10.31,9.37,10.31,9.37,0.94,10.032,219135.03,222838.303
600268.SH,20220728,9.55,9.68,9.35,9.37,9.5,-0.13,-1.3684,169029.44,160533.955
600268.SH,20220727,9.41,9.53,9.17,9.5,9.37,0.13,1.3874,169177.18,158313.687
600268.SH,20220726,9.1,9.47,8.93,9.37,9.12,0.25,2.7412,206934.1,190917.141
600268.SH,20220725,9.89,9.94,9.12,9.12,9.82,-0.7,-7.1283,261881.19,245088.898
600268.SH,20220722,9.78,10.13,9.7,9.82,9.78,0.04,0.409,248779.0,245856.932
600268.SH,20220721,9.81,10.08,9.72,9.78,9.86,-0.08,-0.8114,348661.88,345859.183
600268.SH,20220720,9.56,10.28,9.46,9.86,9.45,0.41,4.3386,416132.31,407730.959
600268.SH,20220719,9.73,9.77,9.43,9.45,9.78,-0.33,-3.3742,269265.12,256917.433
600268.SH,20220718,9.62,9.84,9.53,9.78,9.59,0.19,1.9812,283878.1,275631.886
600268.SH,20220715,9.51,9.91,9.47,9.59,9.6,-0.01,-0.1042,346192.32,335671.39
600268.SH,20220714,9.69,9.82,9.44,9.6,9.86,-0.26,-2.6369,355243.1,340972.561
600268.SH,20220713,9.36,9.9,9.3,9.86,9.43,0.43,4.5599,399203.32,389024.913
600268.SH,20220712,9.52,9.77,9.33,9.43,9.52,-0.09,-0.9454,278937.86,266631.743
600268.SH,20220711,9.42,9.71,9.3,9.52,9.46,0.06,0.6342,270528.21,258303.723
600268.SH,20220708,9.59,9.76,9.37,9.46,9.55,-0.09,-0.9424,356231.51,340508.275
600268.SH,20220707,9.1,9.66,8.98,9.55,9.04,0.51,5.6416,430327.3,404390.713
600268.SH,20220706,9.15,9.3,8.9,9.04,9.17,-0.13,-1.4177,160882.09,146107.751
600268.SH,20220705,9.11,9.48,9.06,9.17,9.11,0.06,0.6586,264123.86,244689.704
600268.SH,20220704,8.93,9.15,8.73,9.11,8.89,0.22,2.4747,199827.35,180811.782
600268.SH,20220701,8.8,9.16,8.8,8.89,8.85,0.04,0.452,160952.72,144778.263
600268.SH,20220630,8.71,8.93,8.71,8.85,8.79,0.06,0.6826,146054.7,129127.517
600268.SH,20220629,9.11,9.17,8.78,8.79,9.22,-0.43,-4.6638,269562.16,240715.25
600268.SH,20220628,9.23,9.3,9.06,9.22,9.28,-0.06,-0.6466,241511.48,221399.677
600268.SH,20220627,9.29,9.32,9.01,9.28,9.2,0.08,0.8696,265874.19,243899.595
600268.SH,20220624,9.22,9.43,9.14,9.2,9.27,-0.07,-0.7551,265222.23,245446.388
600268.SH,20220623,9.08,9.36,8.81,9.27,9.08,0.19,2.0925,353046.81,322819.867
600268.SH,20220622,9.02,9.22,8.82,9.08,9.08,0.0,0.0,235188.12,213575.552
600268.SH,20220621,9.25,9.25,9.01,9.08,9.35,-0.27,-2.8877,266103.33,242373.472
600268.SH,20220620,9.0,9.35,8.95,9.35,8.97,0.38,4.2363,392655.68,358413.712
600268.SH,20220617,8.81,9.12,8.81,8.97,8.86,0.11,1.2415,226749.89,203751.91
600268.SH,20220616,8.83,9.04,8.82,8.86,8.83,0.03,0.3398,187815.02,167359.488
600268.SH,20220615,9.05,9.13,8.8,8.83,9.05,-0.22,-2.4309,232717.82,207874.508
600268.SH,20220614,9.0,9.07,8.73,9.05,9.09,-0.04,-0.44,230467.2,205753.047
600268.SH,20220613,8.94,9.22,8.93,9.09,9.05,0.04,0.442,254001.6,229996.287
600268.SH,20220610,8.69,9.13,8.69,9.05,8.89,0.16,1.7998,291885.93,263094.433
600268.SH,20220609,9.4,9.5,8.89,8.89,9.31,-0.42,-4.5113,404459.35,371171.504
600268.SH,20220608,9.5,9.64,9.01,9.31,9.6,-0.29,-3.0208,477125.92,442822.843
600268.SH,20220607,9.65,10.09,9.39,9.6,9.9,-0.3,-3.0303,554154.88,535890.723
600268.SH,20220606,9.31,10.19,9.2,9.9,9.47,0.43,4.5407,743372.04,724191.102
600268.SH,20220602,9.57,10.68,9.08,9.47,10.09,-0.62,-6.1447,985721.52,959865.652
600268.SH,20220601,9.17,10.09,9.14,10.09,9.17,0.92,10.0327,1090441.06,1068488.527
600268.SH,20220531,9.17,9.17,8.72,9.17,8.34,0.83,9.952,654508.51,591452.545
600268.SH,20220530,7.63,8.34,7.6,8.34,7.58,0.76,10.0264,171960.55,138576.361
600268.SH,20220527,7.66,7.69,7.47,7.58,7.65,-0.07,-0.915,93456.77,70840.28
600268.SH,20220526,7.79,7.88,7.6,7.77,7.88,-0.11,-1.3959,162708.15,125898.687
600268.SH,20220525,7.5,7.88,7.38,7.88,7.41,0.47,6.3428,171485.47,130818.328
600268.SH,20220524,7.83,7.86,7.4,7.41,7.88,-0.47,-5.9645,118474.53,90710.784
600268.SH,20220523,7.87,7.92,7.68,7.88,7.88,0.0,0.0,122719.46,95556.771
600268.SH,20220520,7.72,7.9,7.54,7.88,7.61,0.27,3.548,182294.62,141285.387
600268.SH,20220519,7.32,7.66,7.25,7.61,7.42,0.19,2.5606,153683.0,115140.384
600268.SH,20220518,7.39,7.46,7.32,7.42,7.39,0.03,0.406,98039.56,72515.091
600268.SH,20220517,7.29,7.39,7.2,7.39,7.34,0.05,0.6812,79616.2,58201.1
600268.SH,20220516,7.42,7.45,7.28,7.34,7.37,-0.03,-0.4071,88807.85,65274.011
600268.SH,20220513,7.45,7.5,7.3,7.37,7.38,-0.01,-0.1355,111157.86,82094.495
600268.SH,20220512,7.16,7.61,7.15,7.38,7.21,0.17,2.3578,184106.71,136554.042
600268.SH,20220511,7.34,7.48,7.2,7.21,7.33,-0.12,-1.6371,152619.0,112373.921
600268.SH,20220510,7.11,7.34,7.02,7.33,7.09,0.24,3.385,143497.69,103938.128
600268.SH,20220509,7.08,7.18,7.01,7.09,7.04,0.05,0.7102,76310.73,54202.591
600268.SH,20220506,6.98,7.18,6.84,7.04,7.22,-0.18,-2.4931,140068.67,98694.821
600268.SH,20220505,7.2,7.26,7.07,7.22,7.3,-0.08,-1.0959,179328.03,128003.968
600268.SH,20220429,7.0,7.4,6.98,7.3,7.28,0.02,0.2747,250162.84,180045.479
600268.SH,20220428,7.2,7.55,7.1,7.28,6.92,0.36,5.2023,284526.08,207841.691
600268.SH,20220427,6.24,6.92,6.24,6.92,6.29,0.63,10.0159,120902.88,80694.287
